,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-21 00:00:00,2020-10-23 00:00:00,2020-10-25 00:00:00,cqcode,group
874311c1048fd431c9e27bee67784ac7,0.475,0.375,0.725,0.45,0.0,0.3,0.9,0.0,0.3,0.625,0.85,0.375,0.4,0.375,0.0,0.2,0.0,0.0,Bacteroidota
54658c5cabc3c6c07f1e6556120cc99c,0.625,0.25,0.375,0.25,0.0,0.25,0.4,0.6,0.725,0.325,0.4,0.325,0.425,0.3,0.425,0.25,0.4,0.0,Gammaproteobacteria
eb2625c1474f98f554b002fcd5d1088e,0.125,0.075,0.0,0.0,0.0,0.15,0.0,2.325,0.95,0.675,0.4,0.775,0.075,0.0,0.2,0.175,0.0,0.0,Bacteroidota
6e6f306a337ba255a7f4a7f8469ff691,0.375,0.2,0.2,0.175,0.35,0.275,0.325,0.275,0.2,0.375,0.65,0.5,0.35,0.45,0.4,0.225,0.275,0.0,Gammaproteobacteria
680a50c1257b1f625387c1f5eac1f8f7,0.35,0.4,0.175,0.0,0.25,0.425,0.0,0.175,0.175,0.25,0.175,0.0,0.0,0.45,1.175,0.85,0.625,-1.0,Bacteroidota
f672aa3aea2d03f0b297739022e9b716,0.425,0.45,0.3,0.175,0.375,0.0,0.25,0.675,0.4,0.575,0.55,0.45,0.125,0.325,0.0,0.125,0.25,1.0,Gammaproteobacteria
2d2bbc4cfa8b494a23ea16706372d26c,0.9,0.775,0.925,1.75,0.425,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bacteroidota
1aa45332969575442e0a457ef371669d,0.275,0.45,0.2,0.45,0.2,0.05,0.0,0.275,0.225,0.425,0.475,0.425,0.3,0.225,0.0,0.0,0.0,-1.0,Verrucomicrobiota
d7bcf10280a09cd0b463ce3f2d218d9c,0.25,0.275,0.225,0.275,0.0,0.0,0.375,0.525,0.425,0.6,0.725,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
7f79adb6f17ca8c8dec3d655e2206dd6,0.225,0.025,0.0,0.225,0.25,0.075,0.2,0.775,0.375,0.5,0.225,0.175,0.15,0.3,0.0,0.0,0.0,0.0,Bacteroidota
68a0248959d58ceddd095bab1e768a6c,0.0,0.0,0.0,0.0,0.0,0.0,0.025,1.575,0.7,0.675,0.175,0.15,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
502419a4a0d188164b40db1cf6722742,0.4,0.325,0.2,0.225,0.35,0.325,0.475,0.2,0.175,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
2ffc5bba8b56d331697fbd2db663fa69,0.875,0.55,0.425,0.3,0.0,0.0,0.0,0.225,0.175,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,1.0,Bacteroidota
5c2392591fbe650b20394fc09e9ca90c,0.25,0.55,0.225,0.0,0.125,0.2,0.425,0.275,0.35,0.3,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
5fa97937c087ce34a2c5ae09d617b9b1,0.175,0.0,0.125,0.0,0.225,0.0,0.125,0.4,0.55,0.4,0.275,0.225,0.15,0.0,0.0,0.0,0.1,0.0,Verrucomicrobiota
0fdc35769b2ba30b50ad58aece701229,0.45,0.825,0.725,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Gammaproteobacteria
0f881e6a9e07d0f8bdc7e9090af410e9,0.4,0.4,0.15,0.3,0.0,0.55,0.125,0.4,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
916adc5619fafc4705b3e937d5b00c6f,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.45,0.45,0.55,0.475,0.0,0.0,0.0,-1.0,Bacteroidota
12ba333122e7499eb63d8df0ad7ea92c,0.075,0.0,0.0,0.0,0.0,0.05,0.55,0.425,0.45,0.2,0.175,0.175,0.0,0.0,0.0,0.0,0.125,0.0,Alphaproteobacteria
5f8c17bb109331397db134013bf9e9ba,0.475,0.15,0.0,0.0,0.0,0.0,0.35,0.225,0.0,0.2,0.25,0.275,0.275,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
d70adaf7d3d98a3004a9dcf45f734e64,0.425,0.225,0.125,0.0,0.0,0.0,0.1,0.325,0.4,0.225,0.15,0.075,0.1,0.0,0.0,0.0,0.0,0.0,Bacteroidota
5dd9b4c4fb4de32a93a6e834dde0faa2,0.25,0.3,0.4,0.7,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.05,0.0,Bacteroidota
3a7c521ac033b79223933718a9a95f60,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.325,0.475,0.2,0.225,0.075,0.325,0.1,0.0,0.0,0.0,0.0,Bacteroidota
fd5786c34fcd869feecb36f039662457,0.55,0.275,0.15,0.175,0.0,0.1,0.225,0.0,0.175,0.075,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
49363be39f4e73fc08154c4e95e73321,0.125,0.35,0.275,0.25,0.3,0.1,0.1,0.0,0.15,0.0,0.05,0.075,0.05,0.075,0.0,0.0,0.0,0.0,Actinobacteriota
c79a813ff3faab143e9d2183861efa25,0.4,0.125,0.0,0.175,0.0,0.0,0.425,0.0,0.625,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
e4d1a7edc70a5b859d68e0146708f3fa,0.15,0.0,0.225,0.0,0.1,0.0,0.0,0.0,0.075,0.0,0.225,0.05,0.425,0.0,0.0,0.175,0.15,0.0,Gammaproteobacteria
