"","GH2020.013.832","GH2020.014.832","GH2020.015.832","GH2020.016.832","GH2020.017.832","GH2020.018.832","GH2020.019.832","GH2020.020.832","GH2020.021.832","GH2020.022.832","GH2020.023.832","GH2020.024.832","GH2020.025.832","GH2020.026.832","GH2020.027.832","GH2020.028.832","GH2020.029.832"
"15ac84fac63fe25cc44a4f79f693e6d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"265a24945a95d4fa3f8a3c183e3babf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"097e5d897240400812a6b5a9c52ca8df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b782e87ea046ca0637251b832ee44e6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97d085efdf19fb3931b525da371e422f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f60bc3d6c8e4aa7a10005eeb2f6660c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cc6cef357ce5a392b3c09ae9c9486879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5ed0c2163cf8473e6bcab1863e61e267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0eda7f58584c838d69fa44bd973719f2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4eb3439357a6d353540b91cac3239972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fc94b7345451f404bf2ba32754072fa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c16259903b0dfe31487bf3817099a089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0f97e28263e2179bcb022600660085ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d57fbdf68f66c7a4738a3d8fee5f3da1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0926f730f8db69081bfd81ea288bd1d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a3c5fa7aab685cf00741aef056fa8a38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36b3de45e59b14b8df5537b4ce7ec7a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6b56c316ececbac31316b29a66cc2d8d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d33331299f899df0940f52c664bac711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5198164e518a8deeab38ec5edda908bf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6d8ba970a2e5c8c1404aa35930d3dc91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86fcc55a3fe7a91c1ef3bb186e982bcd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199abd98f35c2a0fcbbea0813b68c074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63d3956ff771f9e9aa1d532a65473b82",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c20966bb1b6e854bbcaf40c3e0944979",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2774a14301cd3017302c024faf767c0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4dc77b5f8eadcabb196c05034198b999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b80e6160b239f7772113c7647b88986e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ba22471eaa9a3f9c48e5a744cb7b1d2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13775810f599c3a78811fe2c8961b4b3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"345f8369c6698d735db7d841fae28af7",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"0ce299fe72bdd4a8a03c5133ee8c9c0a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fdecacfbcaf02f020776147dcc6d5fac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ac1fb968b6b4470cad22869de7a25c33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20efbd96c260ea23b06075499829ed37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86ea9e167839493e3a6693ee860e9e6f",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"03d5bd5fdfb65e8a115b7eebc44ceac4",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a44623ee120f369c585ea613115760e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7723845e49f46ec8d7547defc6465467",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"40b2033b022d21630802433ae657a149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa7499c5a71c7c2e336b58a11214edbb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00c51399fe5e70d918a4ee2a7f439f26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee87ce09bd1f6987ea8a97cc543a07de",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5844f762f97c7a2c0d0e1ecaa4415490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b616596aef6b5b8ee763de02fca55fb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"edd65477a8e8301813c160bc7ec84acd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d30ae122e5ee2335258578b7587ae063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31a5df583245480a3206ddf2861f5e93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9d04b7ad214e58152681f75d07813665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86fea79a64983df866ccb9a2113fe319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0458a740edea0755c0cd51f8023b0278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
