,GH2020.013.832,GH2020.014.832,GH2020.015.832,GH2020.016.832,GH2020.017.832,GH2020.018.832,GH2020.019.832,GH2020.020.832,GH2020.021.832,GH2020.022.832,GH2020.023.832,GH2020.024.832,GH2020.025.832,GH2020.026.832,GH2020.027.832,GH2020.028.832,GH2020.029.832
e4d1a7edc70a5b859d68e0146708f3fa,6,0,9,0,4,0,0,0,3,0,9,2,17,0,0,7,6
9c7422a3a4ea092153a2fbc0fe158fa7,2,0,0,0,0,5,17,8,7,3,10,8,0,0,0,0,0
36232b0e9a92abeb38a7c95bef2edb71,5,11,11,8,0,0,0,0,0,0,0,0,0,12,6,5,0
9ef3321ad20cadc72156cab66b72a316,0,0,5,0,0,0,16,0,7,18,0,0,0,7,0,0,3
4e88579530afedc3ba64c33a96a9e9d6,0,0,0,0,0,0,0,0,0,0,2,6,11,9,11,11,5
e1695c6a045496cbccbd8e8d6d275877,8,8,5,5,7,0,5,0,0,0,0,0,5,11,0,0,0
9ac3bb1d7dedb08a012692a6f536b5af,0,0,0,0,17,7,7,0,19,0,0,3,0,0,0,0,0
7041069483b0fa362520f7ca7e77650d,10,0,4,0,0,0,4,11,9,12,3,0,0,0,0,0,0
f908a38600f83fdc81be5d4d19e1c44e,2,0,0,0,0,0,14,0,0,0,17,12,0,6,0,0,0
d2d5427ea6e035b016300288ed5695e9,3,4,6,8,3,0,3,0,2,3,3,4,6,5,0,0,0
c0fd0d090593e2b69c3a735e115e1f1b,3,4,3,6,0,4,10,2,7,0,0,0,0,1,0,0,8
ec19ef66883b36d2b73e77929806ee7f,4,0,0,0,0,0,5,14,9,6,3,3,0,0,0,0,0
a1b5c22937f5d5a044f7d3d1769975c3,3,8,0,3,0,4,9,0,4,2,4,0,0,2,0,0,2
d1846621d56307859a8d6c6bf12e33cd,8,8,6,3,7,0,0,0,0,0,0,3,0,3,3,0,0
41aa0d37a9c4bc4a849852f7c6824e02,6,9,0,20,0,0,0,0,0,5,0,0,0,0,0,0,0
8cff7bc3fb5f7586f26e4837583cb108,4,0,0,0,0,3,8,3,10,2,3,4,0,0,0,0,0
84e7ff9bf4762d8524c746622aa60588,3,6,0,5,0,4,3,0,3,1,0,0,0,1,10,0,0
3046627c356a24ce50a771cb00466245,10,0,0,0,0,0,6,16,0,0,3,0,0,0,0,0,0
9af3467db68cf6063627304cecd46a65,0,0,0,0,0,11,16,0,0,0,0,7,0,0,0,0,0
c1ba9460c7bf03aa48206243533697a9,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2c070f4880cc78c48ec292dd9c89b597,1,0,0,0,0,0,0,7,8,8,4,3,0,0,0,0,0
71e79965c75da5beadef84bb90e85ac8,0,0,0,0,0,0,0,6,5,14,2,3,0,0,0,0,0
fd2899fba49792389b004ff5b4edc105,12,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
761ead633066299a844718a936a73d40,3,0,0,0,3,0,3,0,3,5,7,0,0,5,0,0,0
c1ffec3e68d94c905a648e7664c2d2b3,0,0,0,0,0,0,6,0,7,7,3,6,0,0,0,0,0
5d2e49450a273f6c0be13ac0df389082,2,0,0,0,2,0,0,5,2,4,0,8,1,3,0,0,2
29534172d78e3b38b46e63f13802cb38,0,0,0,0,0,0,0,20,0,8,0,0,0,0,0,0,0
8df2b2e6c1cb64bd18b81d5bae7f0898,0,0,0,0,13,0,15,0,0,0,0,0,0,0,0,0,0
5327e163428262c6265b605f3fc3f617,11,0,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0
f22dbe466ab7a6820a3fa8f0c23529d6,5,0,0,0,0,0,0,1,4,5,5,0,3,2,0,0,0
f9e864a4b56320d9a9d165537511a13a,3,0,0,0,0,0,12,4,2,4,0,0,0,0,0,0,0
f946b50381ec921baf3aeb617487cae2,5,0,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0
49ef3ac1550d8b721b9cf05353db4266,2,1,3,5,12,0,0,0,0,0,0,0,0,0,0,0,0
3b6fd7be1d9b5827f77b4942a55be2e3,1,3,3,0,0,0,0,0,2,5,6,0,0,3,0,0,0
1638aa56cb7da424b703873161ce93b5,5,7,4,0,0,0,0,0,6,0,0,1,0,0,0,0,0
3f456a18968cea5c5e549e281f0f5808,2,9,0,0,0,0,0,0,5,2,0,4,0,0,0,0,0
9430299127d3ead3db04bc1987302d9c,2,5,4,4,0,1,0,0,2,0,1,2,0,0,0,0,0
159444bc0b813da46a659d21a4d714fe,2,4,0,0,0,0,6,0,0,4,5,0,0,0,0,0,0
faef71610aa24b3d201ee1da2cce1099,7,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0
945184b6386c192c0066e0a98a154780,0,0,7,0,0,12,0,0,0,0,0,1,0,0,0,0,0
3481fa43fe5fba6aecdc7f9aae6ed9c0,2,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0
b4289ab0a9a00034c1fbce477b2c4ded,0,0,0,0,6,0,0,0,6,0,2,0,0,0,0,0,6
8f1f0c16b5ae8d0f4a9f295ceefeb311,4,0,0,0,3,0,2,0,6,3,0,2,0,0,0,0,0
d47d8079ce4160fc003bde985b2fba98,2,0,1,0,0,0,4,0,5,3,5,0,0,0,0,0,0
f37fc1dccfeba0004cbeb4f1ad6083c6,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0
01fab5128a356827231fbacc44b9981a,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,6
d88ed905438959fd8ee98652a99e4ff3,0,0,5,0,0,0,0,0,1,5,0,0,0,8,0,0,0
f0032821fb6aef3771afb4f5d698c64c,6,0,0,0,6,0,0,5,0,0,0,2,0,0,0,0,0
9434f7e486b0c09d19e3db2803d7c3fa,1,0,0,0,3,4,6,0,4,0,0,0,0,0,0,0,0
1de4896460562cae3be7c9d14bfe84cf,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0
a120ace2823a953a1a8cc10dd9d805e8,4,0,0,0,0,2,5,0,3,0,4,0,0,0,0,0,0
932bc44d957c32c1935fd542c664f02a,2,0,0,7,4,0,0,0,2,0,0,2,0,0,0,0,0
b36023fc56449cdd4e744a34b01598f8,0,0,0,0,0,0,6,0,3,4,4,0,0,0,0,0,0
e4909afbea1157e9a3facb213914e0d8,5,0,0,0,0,0,0,0,1,3,1,5,0,1,0,1,0
9233e5ddae8fe129db164d1590905605,3,0,3,3,2,0,0,0,1,0,0,3,0,0,0,1,0
af767841e471a66891128768eb008fdc,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,1
1bf28b748e78c1e80fc6df716c119bf6,4,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0
113381e3893ed86fffe77e3fce5dd07f,4,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
a8f6760bd4378818c3baa8a9129cd930,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0
40f03404f784dbfb7416525222e6ab20,4,1,0,0,3,0,0,0,4,0,0,2,0,0,1,0,0
509eaeea5d891500059f3b856822c912,4,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1b03c73f2f3a077f62d8bca857ea87b4,6,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0
26b6d555823c43ff253ff556cd2a30f1,1,0,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0
ecf34002e3cda4cc1ac3054b88d02335,3,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,0
79446e81bd023ac5680a8bf364e0e92a,0,0,0,0,0,6,0,2,2,0,1,2,0,0,0,0,0
007978dab7aed7eb4d5ffff337638bd2,2,0,0,0,0,0,0,5,0,4,1,1,0,0,0,0,0
cae33a7d5f2c2e4efab7a096e71afddf,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
47f21000b88faf8a0d4a06f8961990b9,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,5
a080a409c3444a2a2ebd1d7716b1b32f,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
d118854b81e1eb3096a5f8f78036b3cd,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0,0
c9049202e37dc92d62a254da16a71985,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28a343f8e68bb8e40238d3e9d03894bc,2,0,4,0,0,0,0,0,1,2,0,3,0,0,0,0,0
3bfe59464b0d58d1512685abdccb124d,1,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0
9c23c8201866799f614a01493a6c03ba,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0
1dfbbb0e3e17e809cf3bb4c95c673751,0,0,2,0,0,0,0,0,1,3,2,2,1,0,0,0,0
a652f496fb4f9105e6797d717c3926ef,0,0,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0
3d5855852ed2cb0724ebaecac1c0cb35,1,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,3
737b297f07a3f031c6f4ec41a6ba9dab,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
c2b524b593511377e6937d7d94b8611f,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
94007ade29ecc38144b271031538f431,1,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0
ad07e5885874179952e16bf2f7bb57b3,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0
c969bfaa705cf93b9c3df9868d0efd29,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
59786a380d10830b9e9990260b401ee5,5,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
2815815189bb8b00c9c20d6409117046,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4485f750175074a24832e0b4f4511de5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
e832bb509af98bf15c612c4f7eb691cb,0,0,0,0,0,0,0,0,2,2,0,2,4,0,0,0,0
eb5566411a98964873c995c18df4ce7c,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7dca8eb0cf60b1afdec96cb5b47e2e96,1,0,0,0,0,1,0,0,4,0,0,0,1,1,0,0,2
8aaecbcc8af4cba72ae7521704416a37,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
06620bf0b3fe7526e28ace17a2b9624e,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0
2b34c3e9694bcb0f67be599f587521f1,2,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0
31b23df96901a1bd5e1959c8ef4e0331,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0
2bce2c03a49a801da9460b2b3b98bc70,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0
d829bee4984f82ffc2453212157caf96,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0
ad9e0017fee8f1eaaf3c142b2c9fa459,0,0,0,0,0,0,0,1,1,5,2,0,0,0,0,0,0
269fe66ba4ebf844790d45cb44007e8f,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1b89949a3c3ac8ca4371667ee203afcf,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
c428552adab88738378b4fd67be5faeb,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0
15d33303de8a2df0d68b1f0c198e38e4,1,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0
cc4fa9a30fb72ffe2170c798191b1aba,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
6aae9a17fbd9c7a4f55a65ef18d63320,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0
2fcf4b575901d3f1184884f4b4319d2c,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
bebe0d7fb3dcb52b47fa05da386d8420,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
5ea0bf135f2f2672d53a02c147038fd7,1,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0
4379fd2009ced9128218c7fa7cdbdda4,4,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
6c4615f252677b1784e22fdc5645921d,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
494db538559fffe9f1233e228cf3b4e0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
d1e07c73ad801203d4e9301d0885c452,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0
4e13a88e53218d14be546cb458cf87cf,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
f1dbe0f3476c8b5948f8c288ba17e015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
9c261b045dc0da456ed27b6bf7b59d74,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
4f39e6542d2c7eacb72bb4c97944d169,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
bdbeb6ce61f002f07064ecc8dd70dbd5,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e4a5397287ad43e9a3107baa19ba7f18,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6ec6560cc6192c437db3fd8c5824b7e1,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0
5d485a492953c7955cd3caf340abfbda,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
7c7c7761ed1d350dd250d3bf1f131073,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
18a980ed927822f60eebf93600ee8ff4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
263e41ea2c25dc87bd2ff5910cf30d40,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
fac5a6074067436b79e49c0a86a84fdc,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
6ee9a1e48df1257049776851d55dbb69,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0
2872e7cab81214aa8d18054fa4e095a1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
93fcca76cfd2a643a9b514e00e3d816f,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0
0df7af542d6bc4b784421e3963761aa1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
318731df8b5243f85b944770513f061e,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
02cbeba62c5f39917f0503ba21755b93,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0
24aa8d5045ca08d94ba414f4d33c2ae8,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0
452f8b97434b4307c2fa6604d2505a5e,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
7483b49fd3c2e40e8f02f09a4ac8c83d,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
553b1a55c324a2153f749c3ff0fcaa4e,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37613602e374a10ed0f20221fa4b7f15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
437cae3d52e0e623c0dab0d9009e5913,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
b6e278bd7cd9488bbd24abc5468f839a,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0
e783d831b37389598a6af3988dfecf57,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107273e73071282e4d0f4a0b46548da5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157300dd035e0b4c4baafe1a3bc130da,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
b590f4c2f8a5c42329f1fef8c6d55035,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
9c91506fcfd87e77a22d522610432f77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ffde3529c33d8e46749ad0e54a94df23,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
0fb821fa8fe1baa28eadd4d3943d1f39,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
8375b47f50ee3b002fe82bfe00409092,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0
d494b4cf38ff626021577e5731796ea4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1933ac7e5faf6244d1cfacf7e2f962b0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
8db9e149f87e73a0f3244bc1d6a548b2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0
50be1cc8e0a17ff2c871418fce496b49,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0
86ea9e167839493e3a6693ee860e9e6f,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
9a3448f8e321e17c10ac3b21ec325e39,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
8647a29076210fa07232f69849e6aa1f,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
409006fd388ce855971885b3a706d833,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
6502fcacc541cb84fa90daae75026392,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
f902de6098ca3570608e576b6658d8c5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
59ec246a162831f517ffcb0db19f14af,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
4cac15127ed34488cb0082b088205704,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
e2a35867731fb073463f823bb3f063d2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697505aa8b446bbb14ec87697af83ba5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
6fa38aed426f27bcdd42ce582fd293c3,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0
f91201adfe8be6ff17177daa8bb13518,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
7e4cd7f8b39acde4326460b77f8e203f,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
053c09f43a8ca677723e10f2650f95aa,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
4ad7d9bc50cb54458cb26233f147fb0c,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0474a04e496a887e5436eee26fafeda0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
f609698e16aa0ceed8b7241f2f630790,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
070fc272903ae7ea02e3a26448029004,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
9be6210261a8b6e9574a41d62754fc2e,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
82db7380eefaef98e650944e96daf7e9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
a6aa5760f22ebe35f241dabc7c80df92,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8eaa747c0358556560585b2bbaffe252,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
0ea596fe64ce496e560a07b83801bf0a,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
fb85be885f7b6939516a5811d48f8335,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
02f9203a0721d9f8e1449fc1dd126966,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
b9f154663a53f22cd5766279276ad03b,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0cb2692fb62fbbf0d451727dce3ff98d,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6c13e1ca4ca794eb2dc44429a68275ae,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
cff904a5584fa97ecb015aa9981c54bd,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
a782aa30ba429a0fc4cdc70c300227f3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
f6029a0964083d893c88ff8ca1a1b877,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
8486668584650c491a5e6ffb7ada8c4f,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
671c9e63ec581a926647aa9e55b69ce9,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
03d5bd5fdfb65e8a115b7eebc44ceac4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7246f2cff9c954449d6eb7534dda92ea,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
8a26efa88983056f2e12d8d4320f1be0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e0112473f91d74a9e0b36bda66d007e6,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
ad21433cd7eaebda836af769c0c65962,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
0a714b58e2dff1c534b4be7a8550bec3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
787c52825ad06ecef6e6447dbb51185f,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0
a6f7afcf5a78ba17e54e9b0f807c0d3e,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
e108a9fe69993777a07aaddcfd9efcd3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
987869ff61a2f9aa291a016392a0b72d,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4521a3276e730b362d95db8e263e4b4a,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
16026e38499f6de9d0229898fd882fc5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
